"","pond","treat","month","temp","sample","group","family","genus","species","feeding","taxon","abundance","bodymass","biomass"
"19",14,"Warm","Apr",19.3,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00305897976237467,0.00152948988118734
"20",15,"Warm","Apr",14,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00339264412932223,0.00169632206466112
"21",15,"Warm","Apr",14,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00258029476614842,0.000645073691537105
"22",16,"Cold","Apr",11,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.00172859590779083,0.000432148976947708
"23",16,"Cold","Apr",11,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.00108856185446886,0.000272140463617215
"24",16,"Cold","Apr",11,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.000629954776891703,0.000157488694222926
"25",17,"Warm","Apr",14.9,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.0050799553208547,0.00126998883021368
"26",17,"Warm","Apr",14.9,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.0010867072676057,0.000543353633802848
"27",19,"Warm","Apr",16.4,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.00042129359623231,0.000210646798116155
"28",20,"Cold","Apr",13.5,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.000604756585816035,0.000302378292908018
"29",1,"Warm","May",17.4,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.000574992482517456,0.000574992482517456
"30",1,"Warm","May",17.4,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00230234863930737,0.00115117431965369
"31",2,"Cold","May",14.7,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.00127480672434734,0.00127480672434734
"32",2,"Cold","May",14.7,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",5,0.000579929312113001,0.000724911640141251
"33",2,"Cold","May",14.7,"Sediment","Ciliate","Strobilidiidae","Strombidium","gyrans","heterotroph","CiliateStrobilidiidaeStrombidiumgyrans",4,0.00178926307262461,0.00178926307262461
"34",2,"Cold","May",14.7,"Sediment","Ciliate","Strombidiidae","Strombidium","gyrans","heterotroph","CiliateStrombidiidaeStrombidiumgyrans",2,0.00188028901806636,0.000940144509033178
"35",2,"Cold","May",14.7,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",7,0.00188810765678298,0.00330418839937021
"36",3,"Cold","May",15,"Sediment","Ciliate","Strombidiidae","Strombidium","gyrans","heterotroph","CiliateStrombidiidaeStrombidiumgyrans",5,0.000986212849885358,0.0012327660623567
"37",3,"Cold","May",15,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.0017031759726337,0.000851587986316852
"38",4,"Warm","May",18.5,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.00141199575583971,0.00141199575583971
"39",4,"Warm","May",18.5,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.000506725543255256,0.000506725543255256
"40",8,"Warm","May",19,"Mid-column","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",3,0.000528288475298408,0.000396216356473806
"41",12,"Warm","May",19,"Surface","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.000693373584190945,0.000346686792095472
"42",13,"Cold","May",15.3,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.000966259914264003,0.000483129957132001
"43",14,"Warm","May",19.3,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00324268465459272,0.00162134232729636
"44",15,"Warm","May",19.5,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000261980552975506,6.54951382438765e-05
"45",15,"Warm","May",19.5,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.0016296476510749,0.0016296476510749
"46",15,"Warm","May",19.5,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00277784858418165,0.00138892429209083
"47",16,"Cold","May",15.4,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.00193179412062502,0.000482948530156255
"48",16,"Cold","May",15.4,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.00108856185446886,0.000272140463617215
"49",16,"Cold","May",15.4,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.000629954776891703,0.000314977388445852
"50",17,"Warm","May",19.5,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.00129990412265871,0.00129990412265871
"51",17,"Warm","May",19.5,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.000955192868743565,0.000477596434371783
"52",19,"Warm","May",19.4,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000469210476381801,0.00011730261909545
"53",20,"Cold","May",15.6,"Mid-column","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",3,0.000533126527984936,0.000399844895988702
"54",2,"Cold","Jun",18,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00179247164228825,0.00134435373171619
"55",2,"Cold","Jun",18,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000764170421837142,0.000191042605459286
"56",3,"Cold","Jun",18.5,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00207052528141123,0.00103526264070561
"57",3,"Cold","Jun",18.5,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000764170421837142,0.000191042605459286
"58",4,"Warm","Jun",23,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"59",5,"Cold","Jun",19,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00154073163416589,0.00115554872562442
"60",5,"Cold","Jun",19,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.000821239284985316,0.000410619642492658
"61",7,"Cold","Jun",18,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",5,0.000778910355688765,0.000973637944610956
"62",7,"Cold","Jun",18,"Surface","Ciliate","Strombidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombidiidaeStrombilidiumgyrans",4,0.00170494992528542,0.00170494992528542
"63",8,"Warm","Jun",22.4,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00149409818188186,0.00112057363641139
"64",9,"Warm","Jun",22.8,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00130905610565739,0.000981792079243042
"65",9,"Warm","Jun",22.8,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
"66",10,"Cold","Jun",18.3,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
"67",10,"Cold","Jun",18.3,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00133348827172436,0.00033337206793109
"68",10,"Cold","Jun",18.3,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","autotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.0012671666328132,0.0006335833164066
"69",11,"Cold","Jun",18.6,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"70",11,"Cold","Jun",18.6,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.00136680028032639,0.00136680028032639
"71",11,"Cold","Jun",18.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00184226326785377,0.00138169745089032
"72",12,"Warm","Jun",21.8,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.00131111227804916,0.00131111227804916
"73",13,"Cold","Jun",19,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.00064305783625105,0.000321528918125525
"74",13,"Cold","Jun",19,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.00154510268037782,0.00154510268037782
"75",14,"Warm","Jun",22.7,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.000534121016592722,0.000133530254148181
"76",14,"Warm","Jun",22.7,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"77",16,"Cold","Jun",19.5,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.000490538225308247,0.000122634556327062
"78",17,"Warm","Jun",22.6,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00172859590779083,0.000864297953895415
"79",17,"Warm","Jun",22.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"80",19,"Warm","Jun",22.6,"Mid-column","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",2,0.000629954776891703,0.000314977388445852
"81",19,"Warm","Jun",22.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"82",20,"Cold","Jun",18.8,"Mid-column","Ciliate","Strombidiidae","Strombidium","gyrans","heterotroph","CiliateStrombidiidaeStrombidiumgyrans",3,0.00767911849248058,0.00575933886936043
"83",20,"Cold","Jun",18.8,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.000891128987752788,0.000222782246938197
"84",2,"Cold","Jul",18,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00172811210252218,0.00129608407689163
"85",2,"Cold","Jul",18,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000764170421837142,0.000191042605459286
"86",3,"Cold","Jul",18.5,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",2,0.00172787019988786,0.000863935099943928
"87",3,"Cold","Jul",18.5,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.000649145719214932,0.000324572859607466
"88",4,"Warm","Jul",23,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00127982620400961,0.000319956551002402
"89",5,"Cold","Jul",19,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00158736508644993,0.00119052381483745
"90",5,"Cold","Jul",19,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000735867813620952,0.000183966953405238
"91",7,"Cold","Jul",18,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.000871817094112397,0.000871817094112397
"92",7,"Cold","Jul",18,"Surface","Ciliate","Strombidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombidiidaeStrombilidiumgyrans",3,0.00161800608679794,0.00121350456509845
"93",8,"Warm","Jul",22.4,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.0023797171651861,0.00178478787388958
"94",9,"Warm","Jul",22.8,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",12,0.00168741534405557,0.00506224603216672
"95",9,"Warm","Jul",22.8,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
"96",10,"Cold","Jul",18.3,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000793561591907801,0.00019839039797695
"97",10,"Cold","Jul",18.3,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"98",11,"Cold","Jul",18.6,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"99",11,"Cold","Jul",18.6,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",3,0.000621205964950231,0.000465904473712674
"100",11,"Cold","Jul",18.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00147025733336546,0.0011026930000241
"101",12,"Warm","Jul",21.8,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.00155242023506619,0.00155242023506619
"102",13,"Cold","Jul",19,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",2,0.0013630407102179,0.00068152035510895
"103",13,"Cold","Jul",19,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.00174962127842437,0.00174962127842437
"104",14,"Warm","Jul",22.7,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"105",16,"Cold","Jul",19.5,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.000490538225308247,0.000122634556327062
"106",17,"Warm","Jul",22.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.000863955258496788,0.000863955258496788
"107",19,"Warm","Jul",22.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"108",20,"Cold","Jul",18.8,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
"109",20,"Cold","Jul",18.8,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"110",1,"Warm","Aug",22.3,"Sediment","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.000533785040711714,0.000400338780533785
"111",2,"Cold","Aug",18,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00158736508644993,0.00119052381483745
"112",2,"Cold","Aug",18,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",3,0.000773591185540632,0.000580193389155474
"113",3,"Cold","Aug",18.5,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",5,0.00176644560664177,0.00220805700830221
"114",3,"Cold","Aug",18.5,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",3,0.000581426420638777,0.000436069815479082
"115",4,"Warm","Aug",23,"Mid-column","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",2,0.00167920745328252,0.00083960372664126
"116",4,"Warm","Aug",23,"Mid-column","Ciliate","Strobilidiidae","Strombilidium","humile","heterotroph","CiliateStrobilidiidaeStrombilidiumhumile",2,0.000579558394740367,0.000289779197370184
"117",4,"Warm","Aug",23,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"118",5,"Cold","Aug",19,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00177938202196414,0.00133453651647311
"119",5,"Cold","Aug",19,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.00458210962013451,0.00458210962013451
"120",6,"Warm","Aug",23.2,"Sediment","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",3,0.00417806166587438,0.00313354624940579
"121",6,"Warm","Aug",23.2,"Sediment","Ciliate","Strobilidiidae","Strombidium","humile","heterotroph","CiliateStrobilidiidaeStrombidiumhumile",4,0.000523688965487395,0.000523688965487395
"122",6,"Warm","Sep",19,"Sediment","Ciliate","Urotrichidae","Urotricha","agilis","heterotroph","CiliateUrotrichidaeUrotrichaagilis",1,0.00347335897497582,0.000868339743743955
"123",7,"Cold","Aug",18,"Sediment","Ciliate","Strobilidium","Strombidium","gyrans","heterotroph","CiliateStrobilidiumStrombidiumgyrans",4,0.00253051321985933,0.00253051321985933
"124",7,"Cold","Aug",18,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",4,0.0100062319139771,0.0100062319139771
"125",7,"Cold","Aug",18,"Surface","Ciliate","Strobilidium","Strombilidium","gyrans","heterotroph","CiliateStrobilidiumStrombilidiumgyrans",3,0.00211936273547468,0.00158952205160601
"126",8,"Warm","Aug",22.4,"Surface","Ciliate","Strobilidiidae","Strobilididae","gyrans","heterotroph","CiliateStrobilidiidaeStrobilididaegyrans",1,0.0015310420897576,0.0003827605224394
"127",8,"Warm","Aug",22.4,"Surface","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",4,0.00180629704979177,0.00180629704979177
"128",8,"Warm","Aug",22.4,"Surface","Ciliate","Strobilidiidae","Strombidium","humile","heterotroph","CiliateStrobilidiidaeStrombidiumhumile",2,0.000532629283681043,0.000266314641840522
"129",9,"Warm","Aug",22.8,"Mid-column","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",7,0.00206351586460229,0.003611152763054
"130",9,"Warm","Aug",22.8,"Mid-column","Ciliate","Strobilidiidae","Strombidium","humile","heterotroph","CiliateStrobilidiidaeStrombidiumhumile",5,0.000825565310429186,0.00103195663803648
"131",9,"Warm","Aug",22.8,"Sediment","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",7,0.00105969480677258,0.00185446591185201
"132",9,"Warm","Aug",22.8,"Sediment","Ciliate","Strobilidiidae","Strombidium","humile","heterotroph","CiliateStrobilidiidaeStrombidiumhumile",5,0.00173926381396463,0.00217407976745579
"133",9,"Warm","Aug",22.8,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
"134",10,"Cold","Aug",18.3,"Mid-column","Ciliate","Strobilidiidae","Strobilidium","gyrans","heterotroph","CiliateStrobilidiidaeStrobilidiumgyrans",4,0.00146315816299974,0.00146315816299974
"135",10,"Cold","Aug",18.3,"Sediment","Ciliate","Strobilidiidae","Strombidium","humile","heterotroph","CiliateStrobilidiidaeStrombidiumhumile",3,0.00512652157796253,0.0038448911834719
"136",10,"Cold","Aug",18.3,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",1,0.000629954776891703,0.000157488694222926
"137",10,"Cold","Aug",18.3,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"138",11,"Cold","Aug",18.6,"Mid-column","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",1,0.00172859590779083,0.000432148976947708
"139",11,"Cold","Aug",18.6,"Sediment","Ciliate","Strombidiidae","Strombidium","humile","heterotroph","CiliateStrombidiidaeStrombidiumhumile",3,0.000817429318494675,0.000613071988871007
"140",11,"Cold","Aug",18.6,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",3,0.00152612340285962,0.00114459255214472
"141",12,"Warm","Aug",21.8,"Surface","Ciliate","Strombilidiidae","Strombilidium","gyrans","heterotroph","CiliateStrombilidiidaeStrombilidiumgyrans",4,0.00100180952223355,0.00100180952223355
