"","pond","treat","month","community.abundance","community.biomass"
"50",5,"Cold","Aug",702,1.59611433336638
"51",5,"Cold","Dec",124,6.36031428701118
"52",5,"Cold","Feb",520,8.10656507005804
"53",5,"Cold","Jan",124,8.50798202529378
"54",5,"Cold","Jul",1765,11.4431049006429
"55",5,"Cold","Jun",1602,5.20836748752379
"56",5,"Cold","Mar",172,17.9991922407135
"57",5,"Cold","May",1272,38.258592168853
"58",5,"Cold","Nov",242,7.52900089766216
"59",5,"Cold","Oct",291,4.9996350601547
"60",5,"Cold","Sep",770,24.6284621122321
"61",6,"Warm","Apr",461,23.6199150608365
"62",6,"Warm","Aug",680,1.40361659903141
"63",6,"Warm","Dec",172,13.0718512950997
"64",6,"Warm","Feb",210,11.0073566098529
"65",6,"Warm","Jan",120,4.69149182789937
"66",6,"Warm","Jul",997,1.43523888585413
"67",6,"Warm","Jun",1314,4.19352375613484
"68",6,"Warm","Mar",203,8.39042399107985
"69",6,"Warm","May",1218,25.6239306746491
"70",6,"Warm","Nov",240,4.00194706623453
"71",6,"Warm","Oct",310,7.08819733632859
"72",6,"Warm","Sep",633,36.2428551731432
"73",7,"Cold","Apr",732,12.7432257353513
"74",7,"Cold","Aug",757,7.86318625778082
"75",7,"Cold","Dec",179,15.7031366709492
"76",7,"Cold","Feb",354,12.8776084332117
"77",7,"Cold","Jan",154,13.665162251501
"78",7,"Cold","Jul",1894,22.9605946623153
"79",7,"Cold","Jun",2140,10.4996818301231
"80",7,"Cold","Mar",165,22.0781973155181
"81",7,"Cold","May",810,16.6199962325772
"82",7,"Cold","Nov",333,9.06103057178863
"83",7,"Cold","Oct",546,16.2318527875608
"84",7,"Cold","Sep",625,26.1097195831979
"85",8,"Warm","Apr",335,8.77824758715928
"86",8,"Warm","Aug",1459,14.9466830288485
"87",8,"Warm","Dec",166,11.354954019777
"88",8,"Warm","Feb",468,14.8270811020824
"89",8,"Warm","Jan",339,2.74877556647152
"90",8,"Warm","Jul",1441,7.10942540943371
"91",8,"Warm","Jun",1748,3.55691228789099
"92",8,"Warm","Mar",236,7.59033609541928
"93",8,"Warm","May",856,24.2984686698702
"94",8,"Warm","Nov",713,2.38012170330581
"95",8,"Warm","Oct",356,4.25895190405924
"96",8,"Warm","Sep",515,45.4963863397635
"97",9,"Warm","Apr",434,16.895021387654
"98",9,"Warm","Aug",878,27.7694439820083
"99",9,"Warm","Dec",117,9.1080757554899
"100",9,"Warm","Feb",261,3.52144123726742
"101",9,"Warm","Jan",123,3.99903538226901
"102",9,"Warm","Jul",834,27.3411622082446
"103",9,"Warm","Jun",1005,7.39819997579559
"104",9,"Warm","Mar",107,6.85274326179383
"105",9,"Warm","May",420,13.9793312513385
"106",9,"Warm","Nov",257,4.89972887489732
"107",9,"Warm","Oct",343,3.96076036608306
"108",9,"Warm","Sep",478,10.9778004642332
"109",10,"Cold","Apr",298,4.64789031687027
"110",10,"Cold","Aug",1029,116.846214491067
"111",10,"Cold","Dec",120,10.9333713303412
"112",10,"Cold","Feb",129,4.67080318252578
"113",10,"Cold","Jan",162,12.715494166785
"114",10,"Cold","Jul",1338,81.1197657792835
"115",10,"Cold","Jun",935,39.2244847516971
"116",10,"Cold","Mar",361,21.7186066511822
"117",10,"Cold","May",281,5.95584919227486
"118",10,"Cold","Nov",117,10.7439636658699
"119",10,"Cold","Oct",329,7.02454761231293
"120",10,"Cold","Sep",530,21.0156416706662
"121",11,"Cold","Apr",615,21.3052949307161
"122",11,"Cold","Aug",1429,21.009297246968
"123",11,"Cold","Dec",81,11.6192494544121
"124",11,"Cold","Feb",659,14.8167031091963
"125",11,"Cold","Jan",143,13.193672076294
"126",11,"Cold","Jul",1512,56.710716096924
"127",11,"Cold","Jun",2274,31.2375519173597
"128",11,"Cold","Mar",125,8.12069603785148
"129",11,"Cold","May",936,40.2911922156569
"130",11,"Cold","Nov",171,10.466140316183
"131",11,"Cold","Oct",430,12.4743126897647
"132",11,"Cold","Sep",804,53.2971292601026
"133",12,"Warm","Apr",1163,0.836776974782289
"134",12,"Warm","Aug",1193,55.1446263202798
"135",12,"Warm","Dec",174,9.55050739388331
"136",12,"Warm","Feb",575,4.90001017284172
"137",12,"Warm","Jan",209,7.36485903174422
"138",12,"Warm","Jul",1154,17.8376472003342
"139",12,"Warm","Jun",1597,21.9530793247137
"140",12,"Warm","Mar",186,4.86622359078649
"141",12,"Warm","May",782,4.39259990127257
"142",12,"Warm","Nov",1026,10.5929780922637
"143",12,"Warm","Oct",412,5.74430093410896
"144",12,"Warm","Sep",476,4.008118391313
"145",13,"Cold","Apr",171,10.1903920262999
"146",13,"Cold","Aug",1162,49.3142811421517
"147",13,"Cold","Dec",74,4.29959666385639
"148",13,"Cold","Feb",146,3.9404405220966
"149",13,"Cold","Jan",204,13.6159274320436
"150",13,"Cold","Jul",1068,71.3844750739647
"151",13,"Cold","Jun",1168,26.6746456716945
"152",13,"Cold","Mar",122,14.4563256307714
"153",13,"Cold","May",529,14.8866394193397
"154",13,"Cold","Nov",422,16.5409344702435
"155",13,"Cold","Oct",890,17.8100460475032
"156",13,"Cold","Sep",537,20.9494553061142
"157",14,"Warm","Apr",382,0.450212307825573
"158",14,"Warm","Aug",873,7.38600199995313
"159",14,"Warm","Dec",141,3.57666394792149
"160",14,"Warm","Feb",159,3.1586829140583
"161",14,"Warm","Jan",166,0.372065311505755
"162",14,"Warm","Jul",483,11.9668626623549
"163",14,"Warm","Jun",1191,28.8321148445202
"164",14,"Warm","Mar",296,13.5033457082532
"165",14,"Warm","May",622,23.0609472576098
"166",14,"Warm","Nov",691,28.0527516274651
"167",14,"Warm","Oct",327,2.89429562853379
"168",14,"Warm","Sep",640,0.979287086751105
"169",15,"Warm","Apr",256,8.01864883075895
"170",15,"Warm","Aug",1160,10.963867667394
"171",15,"Warm","Dec",37,0.455987423236552
"172",15,"Warm","Feb",805,9.14353763160481
"173",15,"Warm","Jan",144,2.27085332956841
"174",15,"Warm","Jul",486,3.22467518403507
"175",15,"Warm","Jun",410,6.15672234396568
"176",15,"Warm","Mar",168,8.41546107697873
"177",15,"Warm","May",613,11.2958590658202
"178",15,"Warm","Nov",580,8.39594086332593
"179",15,"Warm","Oct",493,4.77876326728
"180",15,"Warm","Sep",387,7.21965230477434
"181",16,"Cold","Apr",541,3.84282271360828
"182",16,"Cold","Aug",948,8.16092055027972
"183",16,"Cold","Dec",114,8.09321268582265
"184",16,"Cold","Feb",97,1.11910146554267
"185",16,"Cold","Jan",93,2.97117510328366
"186",16,"Cold","Jul",907,19.1544685986324
"187",16,"Cold","Jun",889,8.71107024939838
"188",16,"Cold","Mar",211,14.1155262983293
"189",16,"Cold","May",2638,124.582469849338
"190",16,"Cold","Nov",300,14.9750474582791
"191",16,"Cold","Oct",946,13.2747051720266
"192",16,"Cold","Sep",701,6.09889193683254
"193",17,"Warm","Apr",323,9.03337155728569
"194",17,"Warm","Aug",364,10.2997730135278
"195",17,"Warm","Dec",143,6.91753875685559
"196",17,"Warm","Feb",564,5.07776559805022
"197",17,"Warm","Jan",174,2.9351341003503
"198",17,"Warm","Jul",421,9.32223245515481
"199",17,"Warm","Jun",315,6.84357493318675
"200",17,"Warm","Mar",336,8.69195700942615
"201",17,"Warm","May",1295,40.8829993330296
"202",17,"Warm","Nov",247,4.16892396276694
"203",17,"Warm","Oct",517,3.55507265712363
"204",17,"Warm","Sep",610,24.7890615448945
"205",18,"Cold","Apr",420,6.37142331852117
"206",18,"Cold","Aug",968,3.4302808752959
"207",18,"Cold","Dec",70,2.4967755432551
"208",18,"Cold","Feb",480,0.9372788653698
"209",18,"Cold","Jan",196,7.46449903452918
"210",18,"Cold","Jul",998,31.8598611292156
"211",18,"Cold","Jun",753,30.1020815935316
"212",18,"Cold","Mar",128,1.09346679323378
"213",18,"Cold","May",1698,11.3377367806829
"214",18,"Cold","Nov",444,20.3162513142601
"215",18,"Cold","Oct",577,20.330013699055
"216",18,"Cold","Sep",1214,15.6798467496019
"217",19,"Warm","Apr",1213,13.8591382727621
"218",19,"Warm","Aug",491,20.6961209923084
"219",19,"Warm","Dec",118,4.23358028375136
"220",19,"Warm","Feb",254,3.50409419140333
"221",19,"Warm","Jan",205,3.27727293645382
"222",19,"Warm","Jul",361,5.8503455157367
"223",19,"Warm","Jun",293,12.5670686792793
"224",19,"Warm","Mar",213,8.51618174757686
"225",19,"Warm","May",2453,13.2794610467124
"226",19,"Warm","Nov",140,3.17923146688158
"227",19,"Warm","Oct",401,3.09629538491127
"228",19,"Warm","Sep",380,16.2742750101183
"229",20,"Cold","Apr",1081,5.02103352903705
"230",20,"Cold","Aug",849,41.3909526012155
"231",20,"Cold","Dec",105,2.29511809901241
"232",20,"Cold","Feb",270,7.89948995240402
"233",20,"Cold","Jan",206,8.49110343493538
"234",20,"Cold","Jul",734,66.310800708608
"235",20,"Cold","Jun",601,24.9786790917014
"236",20,"Cold","Mar",133,7.74337696398212
"237",20,"Cold","May",1655,93.005085347058
"238",20,"Cold","Nov",118,2.11959431357018
"239",20,"Cold","Oct",373,5.67145484079015
"240",20,"Cold","Sep",762,16.456761014008
